,num_spikes,firing_rate,presence_ratio,snr,isi_violations_ratio,isi_violations_count,rp_contamination,rp_violations,sliding_rp_violation,sync_spike_2,sync_spike_4,sync_spike_8,firing_range,amplitude_cv_median,amplitude_cv_range,amplitude_cutoff,noise_cutoff,noise_ratio,amplitude_median,drift_ptp,drift_std,drift_mad,sd_ratio,isolation_distance,l_ratio,d_prime,nn_hit_rate,nn_miss_rate,silhouette
35,358,0.1988888888888889,1.0,3.6119375293738893,32.770512780499985,7,1.0,8,,0.2709497206703911,0.0,0.0,0.6,,,,0.47287497483371116,0.13333333333333333,-35.637718200683594,,,,2.8957111146359624,14.726797364747634,11.246092686768247,2.2523274421691895,0.1553072625698324,0.008875,0.05634987561355303
36,724,0.4022222222222222,1.0,13.472985229679479,3.4339611122981593,3,1.0,2,,0.026243093922651933,0.0,0.0,1.4,0.23571693897247314,0.4158613681793213,0.001379310344827586,1.3686422163071053,0.05838815789473684,-60.26741027832031,,,,2.4511655138012904,96.64581281865779,2.883663222684407e-05,8.460138320922852,0.9676,0.00013547076089410703,0.3559110706632657
37,2902,1.6122222222222222,1.0,5.103535444499965,0.9261893577518013,13,1.0,10,,0.14576154376292214,0.0,0.0,3.8000000000000003,0.26870617270469666,0.1558726578950882,0.0,0.002110548690671615,0.06008793356130923,-54.01692199707031,,,,1.2315541443610785,44.92925728266437,0.6868901871699253,2.8859775066375732,0.5464,0.023771428571428572,0.016047469018087936
38,2421,1.345,1.0,5.474663305173813,3.992328587068848,39,1.0,29,,0.19000413052457663,0.0,0.0,2.5999999999999996,0.5545059442520142,0.2552432119846344,0.0,0.29280982037079695,0.1687675070028011,-54.61325454711914,,,,2.8273553819764055,16.499744168670684,7.382607161922818,1.7363502979278564,0.2676,0.023746500381776534,0.02910159729408299
39,1318,0.7322222222222222,1.0,4.621885720568108,8.63496215583919,25,1.0,14,,0.09408194233687406,0.0,0.0,2.0,0.31219595670700073,0.2391032576560974,0.0,-0.2945827720348358,0.023543689320388347,-39.627418518066406,,,,1.3640963451487174,122.46221421742324,0.001259609071755086,6.914504528045654,0.9676,0.0034666666666666665,0.16868022591392354
41,7804,4.335555555555556,1.0,4.3747610219482755,1.132959979781426,115,1.0,61,,0.15466427473090721,0.0,0.0,8.220000000000002,0.6881483793258667,0.439367413520813,0.0,-0.2733613008273666,0.037965865552072445,-46.60749816894531,2.5641341873516694,0.7224702607060903,0.4032668209222834,2.5845376618210714,24.447276480296335,3.8044256236479166,1.5078202486038208,0.2668,0.031921512323522375,0.08202387970458408
42,11252,6.251111111111111,1.0,5.6988421926539505,1.0188969525850538,215,1.0,135,,0.13437611091361537,8.887308922858158e-05,0.0,8.6,0.5432660579681396,0.35865285992622375,0.010465218538387125,1.1413142351585106,0.19648359615733188,-61.4027099609375,3.1482375895383257,0.7583506056560466,0.44460848518428975,2.682911256146748,21.61584114747554,4.832766319895868,1.873531699180603,0.2984,0.027829624312036373,0.06757444927892184
43,1642,0.9122222222222223,1.0,3.666635302435422,0.6676151747445629,3,1.0,3,,0.1814859926918392,0.0,0.0,2.4,0.39586588740348816,0.21846339106559753,0.0,-0.3004836224758159,0.0867816091954023,-38.35706329345703,,,,1.4381865074766123,42.37752438276068,0.6896706634148492,2.944441318511963,0.5588,0.028314285714285715,0.05429432392904068
21,3462,1.9233333333333333,1.0,6.963483139251318,0.0,0,0.0,0,0.045,0.007221259387637204,0.0,0.0,6.0100000000000025,0.3565288782119751,0.1275940239429474,0.0,-0.6062169911851014,0.02586206896551724,-25.493846893310547,,,,1.0546363457623704,251.31559356164075,2.2288083267874016e-10,9.82214641571045,0.9952,0.0036,0.3087851530780148
13,33031,18.350555555555555,1.0,0.8971805768583556,3.796170236525685,6903,1.0,7080,,0.03968998819290969,6.0549181072325996e-05,0.0,28.220000000000006,2.8827292919158936,1.856842041015625,0.0,-0.15563572567673425,0.04093401781263053,-5.452866077423096,1.3036466260897477,0.2656096867781213,0.16582606778116826,1.8354165854670694,28.887271312720173,0.6646599342660394,2.7924180030822754,0.824,0.0556,0.16833642594232773
11,328,0.18222222222222223,1.0,2.358168349343802,83.65556216537775,15,1.0,12,,0.10975609756097561,0.0,0.0,0.6,,,,0.023480095323673542,0.05731225296442688,-26.326492309570312,,,,1.0674437800350076,32.710639964689335,1.4377380180035724,2.926593780517578,0.5701219512195121,0.007455853499018967,0.07814531069065737
